1.000 0.010
6 82  1.881061 1.899982 
6 83  1.595095 2.075172 
6 84  1.228811 2.230409 
6 85  0.702353 2.340447 
7 15  -2.174184 1.232832 
7 16  -2.480268 0.783532 
7 17  -2.639570 0.412049 
7 18  -2.726340 0.082047 
7 19  -2.766107 -0.218612 
7 20  -2.771663 -0.495852 
7 21  -2.750662 -0.753131 
7 22  -2.708198 -0.992696 
7 23  -2.647917 -1.216122 
7 24  -2.572570 -1.424571 
7 25  -2.484313 -1.618940 
7 26  -2.384892 -1.799942 
7 27  -2.275759 -1.968159 
7 28  -2.158142 -2.124081 
7 29  -2.033103 -2.268123 
7 30  -1.901573 -2.400648 
7 31  -1.764377 -2.521972 
7 32  -1.622256 -2.632381 
7 33  -1.475882 -2.732128 
7 34  -1.325871 -2.821448 
7 35  -1.172791 -2.900555 
7 36  -1.017169 -2.969649 
7 37  -0.859498 -3.028914 
7 38  -0.700244 -3.078527 
7 39  -0.539846 -3.118653 
7 40  -0.378724 -3.149452 
7 41  -0.217277 -3.171074 
7 42  -0.055892 -3.183667 
7 43  0.105060 -3.187373 
7 44  0.265218 -3.182329 
7 45  0.424231 -3.168672 
7 46  0.581757 -3.146535 
7 47  0.737458 -3.116048 
7 48  0.891003 -3.077342 
7 49  1.042063 -3.030545 
7 50  1.190315 -2.975787 
7 51  1.335434 -2.913197 
7 52  1.477096 -2.842905 
7 53  1.614977 -2.765040 
7 54  1.748752 -2.679737 
7 55  1.878089 -2.587129 
7 56  2.002655 -2.487354 
7 57  2.122110 -2.380552 
7 58  2.236106 -2.266868 
7 59  2.344286 -2.146449 
7 60  2.446284 -2.019449 
7 61  2.541718 -1.886028 
7 62  2.630195 -1.746351 
7 63  2.711301 -1.600594 
7 64  2.784604 -1.448940 
7 65  2.849645 -1.291581 
7 66  2.905940 -1.128724 
7 67  2.952968 -0.960588 
7 68  2.990172 -0.787410 
7 69  3.016943 -0.609444 
7 70  3.032620 -0.426971 
7 71  3.036470 -0.240294 
7 72  3.027676 -0.049754 
7 73  3.005314 0.144270 
7 74  2.968330 0.341347 
7 75  2.915496 0.540983 
7 76  2.845359 0.742600 
7 77  2.756162 0.945510 
7 78  2.645727 1.148874 
7 79  2.511259 1.351637 
7 80  2.349034 1.552426 
7 81  2.153810 1.749355 
7 82  1.917662 1.939648 
7 83  1.627241 2.118774 
7 84  1.255689 2.277915 
7 85  0.724180 2.392177 
8 15  -2.226385 1.255275 
8 16  -2.533240 0.799359 
8 17  -2.693643 0.421366 
8 18  -2.780907 0.085392 
8 19  -2.820614 -0.220745 
8 20  -2.825653 -0.503033 
8 21  -2.803760 -0.764976 
8 22  -2.760094 -1.008863 
8 23  -2.698349 -1.236295 
8 24  -2.621315 -1.448460 
8 25  -2.531181 -1.646273 
8 26  -2.429720 -1.830463 
8 27  -2.318404 -2.001627 
8 28  -2.198483 -2.160265 
8 29  -2.071033 -2.306803 
8 30  -1.937001 -2.441611 
8 31  -1.797224 -2.565015 
8 32  -1.652455 -2.677305 
8 33  -1.503377 -2.778744 
8 34  -1.350614 -2.869569 
8 35  -1.194743 -2.950002 
8 36  -1.036299 -3.020244 
8 37  -0.875783 -3.080487 
8 38  -0.713667 -3.130910 
8 39  -0.550398 -3.171683 
8 40  -0.386400 -3.202967 
8 41  -0.222081 -3.224918 
8 42  -0.057831 -3.237686 
8 43  0.105973 -3.241414 
8 44  0.268964 -3.236245 
8 45  0.430787 -3.222316 
8 46  0.591092 -3.199763 
8 47  0.749540 -3.168719 
8 48  0.905792 -3.129316 
8 49  1.059516 -3.081686 
8 50  1.210384 -3.025959 
8 51  1.358064 -2.962266 
8 52  1.502231 -2.890740 
8 53  1.642553 -2.811513 
8 54  1.778701 -2.724720 
8 55  1.910338 -2.630496 
8 56  2.037126 -2.528980 
8 57  2.158719 -2.420316 
8 58  2.274764 -2.304648 
8 59  2.384899 -2.182127 
8 60  2.488750 -2.052907 
8 61  2.585931 -1.917151 
8 62  2.676042 -1.775027 
8 63  2.758662 -1.626710 
8 64  2.833350 -1.472385 
8 65  2.899643 -1.312248 
8 66  2.957044 -1.146506 
8 67  3.005028 -0.975382 
8 68  3.043023 -0.799114 
8 69  3.070414 -0.617960 
8 70  3.086526 -0.432200 
8 71  3.090613 -0.242145 
8 72  3.081843 -0.048135 
8 73  3.059277 0.149445 
8 74  3.021841 0.350161 
8 75  2.968285 0.553513 
8 76  2.897132 0.758919 
8 77  2.806594 0.965682 
8 78  2.694456 1.172957 
8 79  2.557879 1.379679 
8 80  2.393082 1.584461 
8 81  2.194751 1.785401 
8 82  1.954869 1.979703 
8 83  1.659972 2.162812 
8 84  1.283133 2.325909 
8 85  0.746503 2.444430 
9 15  -2.279319 1.277754 
9 16  -2.586969 0.815150 
9 17  -2.748454 0.430595 
9 18  -2.836193 0.088599 
9 19  -2.875820 -0.223066 
9 20  -2.880323 -0.510447 
9 21  -2.857518 -0.777100 
9 22  -2.812626 -1.025350 
9 23  -2.749393 -1.256828 
9 24  -2.670647 -1.472746 
9 25  -2.578609 -1.674037 
9 26  -2.475080 -1.861449 
9 27  -2.361553 -2.035589 
9 28  -2.239297 -2.196971 
9 29  -2.109406 -2.346029 
9 30  -1.972841 -2.483144 
9 31  -1.830451 -2.608649 
9 32  -1.683001 -2.722840 
9 33  -1.531185 -2.825987 
9 34  -1.375636 -2.918333 
9 35  -1.216940 -3.000103 
9 36  -1.055640 -3.071507 
9 37  -0.892244 -3.132737 
9 38  -0.727232 -3.183978 
9 39  -0.561057 -3.225403 
9 40  -0.394150 -3.257178 
9 41  -0.226923 -3.279460 
9 42  -0.059773 -3.292403 
9 43  0.106916 -3.296153 
9 44  0.272774 -3.290856 
9 45  0.437439 -3.276651 
9 46  0.600558 -3.253677 
9 47  0.761785 -3.222068 
9 48  0.920777 -3.181960 
9 49  1.077197 -3.133485 
9 50  1.230711 -3.076778 
9 51  1.380985 -3.011970 
9 52  1.527686 -2.939196 
9 53  1.670479 -2.858590 
9 54  1.809028 -2.770289 
9 55  1.942993 -2.674430 
9 56  2.072030 -2.571154 
9 57  2.195787 -2.460605 
9 58  2.313907 -2.342931 
9 59  2.426020 -2.218283 
9 60  2.531748 -2.086819 
9 61  2.630699 -1.948701 
9 62  2.722464 -1.804100 
9 63  2.806616 -1.653193 
9 64  2.882709 -1.496167 
9 65  2.950269 -1.333220 
9 66  3.008794 -1.164561 
9 67  3.057746 -0.990414 
9 68  3.096546 -0.811021 
9 69  3.124567 -0.626641 
9 70  3.141122 -0.437559 
9 71  3.145452 -0.244086 
9 72  3.136712 -0.046567 
9 73  3.113944 0.154610 
9 74  3.076057 0.359006 
9 75  3.021778 0.566117 
9 76  2.949604 0.775355 
9 77  2.857718 0.986017 
9 78  2.743867 1.197248 
9 79  2.605169 1.407974 
9 80  2.437784 1.616796 
9 81  2.236329 1.821794 
9 82  1.992692 2.020153 
9 83  1.693298 2.207295 
9 84  1.311150 2.374398 
9 85  0.769332 2.497215 
10 15  -2.333002 1.300273 
10 16  -2.641468 0.830906 
10 17  -2.804015 0.439735 
10 18  -2.892211 0.091666 
10 19  -2.931740 -0.225576 
10 20  -2.935687 -0.518100 
10 21  -2.911948 -0.789508 
10 22  -2.865808 -1.042163 
10 23  -2.801062 -1.277727 
10 24  -2.720578 -1.497436 
10 25  -2.626609 -1.702241 
10 26  -2.520982 -1.892906 
10 27  -2.405215 -2.070053 
10 28  -2.280594 -2.234207 
10 29  -2.148231 -2.385812 
10 30  -2.009099 -2.525258 
10 31  -1.864064 -2.652884 
10 32  -1.713900 -2.768996 
10 33  -1.559312 -2.873869 
10 34  -1.400943 -2.967751 
10 35  -1.239387 -3.050873 
10 36  -1.075196 -3.123449 
10 37  -0.908886 -3.185677 
10 38  -0.740943 -3.237744 
10 39  -0.571826 -3.279827 
10 40  -0.401974 -3.312096 
10 41  -0.231805 -3.334712 
10 42  -0.061721 -3.347831 
10 43  0.107889 -3.351603 
10 44  0.276649 -3.346175 
10 45  0.444191 -3.331691 
10 46  0.610157 -3.308289 
10 47  0.774196 -3.276108 
10 48  0.935961 -3.235286 
10 49  1.095110 -3.185957 
10 50  1.251303 -3.128257 
10 51  1.404201 -3.062321 
10 52  1.553467 -2.988284 
10 53  1.698760 -2.906283 
10 54  1.839741 -2.816455 
10 55  1.976062 -2.718942 
10 56  2.107376 -2.613885 
10 57  2.233324 -2.501429 
10 58  2.353543 -2.381725 
10 59  2.467660 -2.254926 
10 60  2.575289 -2.121191 
10 61  2.676031 -1.980684 
10 62  2.769472 -1.833578 
10 63  2.855177 -1.680051 
10 64  2.932693 -1.520293 
10 65  3.001538 -1.354503 
10 66  3.061201 -1.182893 
10 67  3.111135 -1.005690 
10 68  3.150753 -0.823135 
10 69  3.179415 -0.635493 
10 70  3.196422 -0.443049 
10 71  3.201003 -0.246119 
10 72  3.192297 -0.045050 
10 73  3.169330 0.159765 
10 74  3.130991 0.367884 
10 75  3.075987 0.578797 
10 76  3.002788 0.791911 
10 77  2.909547 1.006516 
10 78  2.793973 1.221750 
10 79  2.653140 1.436527 
10 80  2.483153 1.649436 
10 81  2.278554 1.858541 
10 82  2.031141 2.061007 
10 83  1.727228 2.252233 
10 84  1.339748 2.423392 
10 85  0.792675 2.550544 
11 15  -2.387447 1.322832 
11 16  -2.696749 0.846628 
11 17  -2.860341 0.448788 
11 18  -2.948975 0.094592 
11 19  -2.988388 -0.228280 
11 20  -2.991758 -0.525995 
11 21  -2.967063 -0.802204 
11 22  -2.919652 -1.059308 
11 23  -2.853368 -1.299000 
11 24  -2.771120 -1.522537 
11 25  -2.675192 -1.730893 
11 26  -2.567439 -1.924845 
11 27  -2.449400 -2.105030 
11 28  -2.322383 -2.271984 
11 29  -2.187515 -2.426162 
11 30  -2.045785 -2.567963 
11 31  -1.898071 -2.697733 
11 32  -1.745159 -2.815786 
11 33  -1.587765 -2.922402 
11 34  -1.426541 -3.017837 
11 35  -1.262090 -3.102325 
11 36  -1.094972 -3.176085 
11 37  -0.925712 -3.239319 
11 38  -0.754801 -3.292220 
11 39  -0.582707 -3.334969 
11 40  -0.409874 -3.367737 
11 41  -0.236727 -3.390689 
11 42  -0.063673 -3.403985 
11 43  0.108893 -3.407778 
11 44  0.280589 -3.402217 
11 45  0.451043 -3.387448 
11 46  0.619891 -3.363614 
11 47  0.786777 -3.330854 
11 48  0.951349 -3.289309 
11 49  1.113260 -3.239115 
11 50  1.272164 -3.180410 
11 51  1.427719 -3.113331 
11 52  1.579581 -3.038016 
11 53  1.727405 -2.954603 
11 54  1.870847 -2.863231 
11 55  2.009554 -2.764044 
11 56  2.143172 -2.657184 
11 57  2.271338 -2.542800 
11 58  2.393684 -2.421043 
11 59  2.509829 -2.292067 
11 60  2.619383 -2.156034 
11 61  2.721939 -2.013110 
11 62  2.817077 -1.863469 
11 63  2.904356 -1.707292 
