1.000 0.010
5 78  1.308855 -1.148166 
5 79  1.331313 -1.126402 
5 80  1.353659 -1.104123 
5 81  1.375893 -1.081318 
5 82  1.398013 -1.057971 
5 83  1.420019 -1.034068 
5 84  1.441909 -1.009592 
5 85  1.463682 -0.984527 
5 86  1.485336 -0.958855 
5 87  1.506870 -0.932556 
5 88  1.528282 -0.905609 
5 89  1.549568 -0.877993 
5 90  1.570728 -0.849684 
5 91  1.591757 -0.820657 
5 92  1.612653 -0.790885 
5 93  1.633412 -0.760338 
5 94  1.654031 -0.728986 
5 95  1.674504 -0.696794 
5 96  1.694828 -0.663728 
5 97  1.714997 -0.629748 
5 98  1.735004 -0.594812 
5 99  1.754845 -0.558874 
5 100  1.774510 -0.521884 
6 0  -0.930367 -1.630099 
6 1  -0.890301 -1.643155 
6 2  -0.850833 -1.655337 
6 3  -0.811935 -1.666686 
6 4  -0.773580 -1.677239 
6 5  -0.735744 -1.687029 
6 6  -0.698404 -1.696088 
6 7  -0.661538 -1.704443 
6 8  -0.625127 -1.712123 
6 9  -0.589152 -1.719152 
6 10  -0.553596 -1.725552 
6 11  -0.518441 -1.731346 
6 12  -0.483674 -1.736553 
6 13  -0.449280 -1.741191 
6 14  -0.415245 -1.745278 
6 15  -0.381557 -1.748830 
6 16  -0.348203 -1.751862 
6 17  -0.315172 -1.754388 
6 18  -0.282453 -1.756421 
6 19  -0.250037 -1.757973 
6 20  -0.217913 -1.759056 
6 21  -0.186073 -1.759680 
6 22  -0.154508 -1.759855 
6 23  -0.123209 -1.759592 
6 24  -0.092168 -1.758897 
6 25  -0.061379 -1.757780 
6 26  -0.030834 -1.756249 
6 27  -0.000527 -1.754309 
6 28  0.029550 -1.751968 
6 29  0.059402 -1.749232 
6 30  0.089036 -1.746106 
6 31  0.118456 -1.742597 
6 32  0.147668 -1.738707 
6 33  0.176678 -1.734443 
6 34  0.205490 -1.729808 
6 35  0.234110 -1.724806 
6 36  0.262541 -1.719440 
6 37  0.290787 -1.713713 
6 38  0.318854 -1.707629 
6 39  0.346745 -1.701189 
6 40  0.374464 -1.694396 
6 41  0.402014 -1.687251 
6 42  0.429400 -1.679757 
6 43  0.456623 -1.671914 
6 44  0.483689 -1.663724 
6 45  0.510599 -1.655186 
6 46  0.537357 -1.646303 
6 47  0.563966 -1.637073 
6 48  0.590428 -1.627498 
6 49  0.616746 -1.617576 
6 50  0.642923 -1.607307 
6 51  0.668960 -1.596690 
6 52  0.694861 -1.585725 
6 53  0.720627 -1.574409 
6 54  0.746260 -1.562742 
6 55  0.771764 -1.550721 
6 56  0.797138 -1.538344 
6 57  0.822386 -1.525609 
6 58  0.847509 -1.512513 
6 59  0.872508 -1.499054 
6 60  0.897385 -1.485227 
6 61  0.922143 -1.471030 
6 62  0.946781 -1.456458 
6 63  0.971301 -1.441508 
6 64  0.995705 -1.426174 
