1.000 0.010
5 58  0.511417 -0.796826 
5 59  0.531015 -0.785424 
5 60  0.550487 -0.773641 
5 61  0.569833 -0.761471 
5 62  0.589054 -0.748910 
5 63  0.608152 -0.735952 
5 64  0.627128 -0.722590 
5 65  0.645980 -0.708818 
5 66  0.664711 -0.694628 
5 67  0.683321 -0.680012 
5 68  0.701809 -0.664961 
5 69  0.720175 -0.649467 
5 70  0.738420 -0.633519 
5 71  0.756543 -0.617106 
5 72  0.774544 -0.600218 
5 73  0.792421 -0.582840 
5 74  0.810174 -0.564961 
5 75  0.827801 -0.546566 
5 76  0.845302 -0.527639 
5 77  0.862675 -0.508164 
5 78  0.879918 -0.488124 
5 79  0.897028 -0.467498 
5 80  0.914004 -0.446266 
5 81  0.930842 -0.424407 
5 82  0.947540 -0.401896 
5 83  0.964094 -0.378707 
5 84  0.980500 -0.354812 
5 85  0.996753 -0.330181 
5 86  1.012850 -0.304782 
5 87  1.028784 -0.278577 
5 88  1.044549 -0.251529 
5 89  1.060138 -0.223594 
5 90  1.075545 -0.194726 
5 91  1.090760 -0.164875 
5 92  1.105775 -0.133984 
5 93  1.120577 -0.101992 
5 94  1.135157 -0.068831 
5 95  1.149499 -0.034425 
5 96  1.163590 0.001310 
5 97  1.177413 0.038467 
5 98  1.190947 0.077151 
5 99  1.204171 0.117480 
5 100  1.217061 0.159587 
6 0  -0.982648 -0.771177 
6 1  -0.944601 -0.791672 
6 2  -0.907484 -0.810746 
6 3  -0.871231 -0.828502 
6 4  -0.835782 -0.845029 
6 5  -0.801084 -0.860408 
6 6  -0.767087 -0.874712 
6 7  -0.733750 -0.888003 
6 8  -0.701033 -0.900342 
6 9  -0.668900 -0.911781 
6 10  -0.637319 -0.922366 
6 11  -0.606259 -0.932143 
6 12  -0.575694 -0.941149 
6 13  -0.545599 -0.949422 
6 14  -0.515951 -0.956994 
6 15  -0.486728 -0.963895 
6 16  -0.457911 -0.970152 
6 17  -0.429482 -0.975792 
6 18  -0.401423 -0.980838 
6 19  -0.373720 -0.985311 
6 20  -0.346357 -0.989231 
