1.000 0.010
5 53  0.576696 -0.922798 
5 54  0.632745 -0.889721 
5 55  0.687776 -0.853909 
5 56  0.741780 -0.815292 
5 57  0.794743 -0.773780 
5 58  0.846643 -0.729266 
5 59  0.897451 -0.681619 
5 60  0.947130 -0.630685 
5 61  0.995632 -0.576280 
5 62  1.042898 -0.518188 
5 63  1.088857 -0.456151 
5 64  1.133420 -0.389864 
5 65  1.176478 -0.318962 
5 66  1.217900 -0.243006 
5 67  1.257521 -0.161466 
5 68  1.295137 -0.073691 
5 69  1.330493 0.021120 
5 70  1.363264 0.123978 
5 71  1.393030 0.236169 
5 72  1.419239 0.359369 
5 73  1.441147 0.495815 
5 74  1.457725 0.648579 
5 75  1.467494 0.822034 
5 76  1.468235 1.022695 
5 77  1.456417 1.260858 
5 78  1.425961 1.554125 
5 79  1.365170 1.936163 
5 80  1.247259 2.483596 
5 81  0.988266 3.435164 
5 82  -0.049726 6.592456 
6 18  -3.635881 2.795638 
6 19  -2.899326 1.355238 
6 20  -2.527325 0.711293 
6 21  -2.269670 0.315085 
6 22  -2.066923 0.036881 
6 23  -1.896214 -0.173010 
6 24  -1.746472 -0.338531 
6 25  -1.611535 -0.472936 
6 26  -1.487640 -0.584285 
6 27  -1.372324 -0.677824 
6 28  -1.263887 -0.757146 
6 29  -1.161111 -0.824817 
6 30  -1.063091 -0.882727 
6 31  -0.969137 -0.932308 
6 32  -0.878712 -0.974666 
6 33  -0.791388 -1.010673 
6 34  -0.706821 -1.041026 
6 35  -0.624727 -1.066290 
6 36  -0.544874 -1.086929 
6 37  -0.467065 -1.103325 
6 38  -0.391134 -1.115795 
6 39  -0.316942 -1.124605 
6 40  -0.244367 -1.129978 
6 41  -0.173307 -1.132101 
6 42  -0.103673 -1.131130 
6 43  -0.035387 -1.127197 
6 44  0.031617 -1.120409 
6 45  0.097397 -1.110856 
6 46  0.162001 -1.098608 
6 47  0.225473 -1.083721 
6 48  0.287848 -1.066234 
6 49  0.349156 -1.046173 
6 50  0.409421 -1.023552 
6 51  0.468662 -0.998371 
6 52  0.526892 -0.970616 
6 53  0.584120 -0.940262 
6 54  0.640349 -0.907269 
6 55  0.695579 -0.871583 
6 56  0.749801 -0.833136 
6 57  0.803002 -0.791841 
6 58  0.855163 -0.747596 
6 59  0.906258 -0.700275 
6 60  0.956251 -0.649731 
6 61  1.005099 -0.595789 
6 62  1.052749 -0.538242 
6 63  1.099133 -0.476846 
6 64  1.144170 -0.411312 
6 65  1.187762 -0.341295 
6 66  1.229785 -0.266384 
6 67  1.270090 -0.186081 
6 68  1.308492 -0.099784 
6 69  1.344760 -0.006749 
6 70  1.378602 0.093950 
6 71  1.409644 0.203485 
6 72  1.437398 0.323368 
6 73  1.461216 0.455592 
6 74  1.480212 0.602856 
6 75  1.493137 0.768932 
6 76  1.498156 0.959320 
6 77  1.492438 1.182451 
6 78  1.471302 1.452171 
6 79  1.426254 1.793454 
6 80  1.339585 2.258057 
6 81  1.164865 2.980914 
6 82  0.704853 4.531931 
7 17  -4.946975 5.397954 
7 18  -3.283940 1.976344 
7 19  -2.770073 1.037555 
7 20  -2.456198 0.527337 
7 21  -2.223255 0.189250 
